date,startup_name,industry,sub_industry,city,investors,investment_type,amount_usd,investor_list
2017-12-14,Curofy,Technology,Mobile App for Network of Doctors,Gurgaon,RoundGlass Partners LLC,Seed/Angel Funding,250000.0,['RoundGlass Partners LLC']
2017-12-14,Homelane,E-Commerce,Online Furniture Marketplace,Bangalore,"Accel Partners, Sequoia Capital, RB Investments",Private Equity,10000000.0,"['Accel Partners', ' Sequoia Capital', ' RB Investments']"
2017-12-14,Wedosky,Technology,Provides Business Insights using Drone Imaginary,Delhi,Mumbai Angels Network,Private Equity,0.0,['Mumbai Angels Network']
2017-12-15,Purplle,E-Commerce,Beauty Products Online Marketplace,Mumbai,"Mountain Pain Capital, Suncoast Investments",Seed/Angel Funding,537000.0,"['Mountain Pain Capital', ' Suncoast Investments']"
2017-12-18,Sky Met Weather,Technology,Weather Forecast Platform,Noida,InsuResillience Investment Fund,Private Equity,0.0,['InsuResillience Investment Fund']
2017-12-19,Springboard,Technology,Online Courses and Mentoring from Experts,Bangalore,"Costanoa, Learn Capital, Jyoti Bansal",Private Equity,9500000.0,"['Costanoa', ' Learn Capital', ' Jyoti Bansal']"
2017-12-19,Peel Works,Technology,SaaS based Big Data Analytics Platform,Mumbai,Unilever Ventures,Private Equity,0.0,['Unilever Ventures']
2017-12-19,9Stacks,Technology,Online Poker Platform,Delhi,"Swati Gupta, Purnima Khandelwal, Maheshwar Peri, Sanjay Singh",Private Equity,1500000.0,"['Swati Gupta', ' Purnima Khandelwal', ' Maheshwar Peri', ' Sanjay Singh']"
2017-12-20,Your Quote,Technology,Vernacular and Video Content Platform,Bangalore,"Axilor Ventures, E-City VEntures Atul Goel",Private Equity,1000000.0,"['Axilor Ventures', ' E-City VEntures Atul Goel']"
2017-12-20,Spandana Sphoorty,Finance,Micro finance institution providing small ticket unsecured loans to women,Hyderabad,"""Kedaraa Capital, Ontario Teachers\\'""",Private Equity,19500000.0,"['""Kedaraa Capital', ' Ontario Teachers\\\\\'""']"
2017-12-21,Indus Os,Technology,Regional Operating System for Smartphones,Mumbai,Omidyar Network,Private Equity,4000000.0,['Omidyar Network']
2017-12-21,Easyecom,E-Commerce,Ecommerce enabler platform,Bangalore,"Ambarish Gupta, Aneesh Reddy, Bold Ventures, Vona Investments",Seed/Angel Funding,150000.0,"['Ambarish Gupta', ' Aneesh Reddy', ' Bold Ventures', ' Vona Investments']"
2017-12-21,Igp,E-Commerce,Online Gifting Platform,Uttar Pradesh,Venture Catalysts,Private Equity,0.0,['Venture Catalysts']
2017-12-26,Specsmakers,E-Commerce,Online Spects Platform for Men and Women,Chennai,Eight Roads Ventures India,Private Equity,10000000.0,['Eight Roads Ventures India']
2017-12-27,Garage On Road,E-Commerce,Online vehicle service booking platform,Noida,Gaurav Gupta,Private Equity,0.0,['Gaurav Gupta']
2017-12-27,Foyr,Technology,Realty Tech Startup solving real life Interior Designing problems,Hyderabad,Jones Lang LaSalle,Private Equity,3800000.0,['Jones Lang LaSalle']
2017-11-02,Prest Loans,Finance,Business & SME Loans provider,Delhi,"Manish Poddar, Arun Garg, Parmeshwar Sharma",Seed Funding,570000.0,"['Manish Poddar', ' Arun Garg', ' Parmeshwar Sharma']"
2017-11-02,Aadharapi,Technology,Aadhaar-based API provider,Pune,CIO Angel Network,Seed Funding,0.0,['CIO Angel Network']
2017-11-02,Freshboxx,ECommerce,Online Grocery Store,Bangalore,Jayant Humbarwadi,Seed Funding,0.0,['Jayant Humbarwadi']
2017-11-03,Vagupu,Technology,Online Tutorial Marketplace,Bangalore,Undisclosed Investors,Seed Funding,1000000.0,['Undisclosed Investors']
2017-11-03,Halaplay,Consumer Internet,Online Fantasy Games,Mumbai,"Kae Capital Management, Nazara Technologies",Seed Funding,0.0,"['Kae Capital Management', ' Nazara Technologies']"
2017-11-03,Kalpnik Technologies,Technology,VR based Spiritual platform,Bangalore,Venture Catalysts,Seed Funding,500000.0,['Venture Catalysts']
2017-11-04,Hevo Data,Technology,Real time data analytics & reporting,Bangalore,IDG Ventures India,Private Equity,1000000.0,['IDG Ventures India']
2017-11-06,Smart Karma,Technology,Financial Technology Research Platform,Bangalore,IDG Ventures India,Private Equity,0.0,['IDG Ventures India']
2017-11-06,Leverage Edu,ECommerce,Online platform for Higher Education Services,Delhi,"Alok Mittal, Deepak Jain, Ritesh Malik, Jim Schimdktke",Seed Funding,0.0,"['Alok Mittal', ' Deepak Jain', ' Ritesh Malik', ' Jim Schimdktke']"
2017-11-07,Crayon Data,Technology,Customer Engagement Platform,Delhi,Infosys co-founder Kris Gopalakrishnan,Seed Funding,0.0,['Infosys co-founder Kris Gopalakrishnan']
2017-11-07,Doctalk,Technology,Doctor Patient Communication platform,Mumbai,"Matrix Partners India, Khosla Ventures",Private Equity,5000000.0,"['Matrix Partners India', ' Khosla Ventures']"
2017-11-07,Coveiot,Technology,Wearable tech and Internet of Things platform,Bangalore,"Titan Co Ltd, Tata Group\\xe2\\x80\\x99s watch and jewellery retailing firm",Private Equity,5000000.0,"['Titan Co Ltd', ' Tata Group\\\\xe2\\\\x80\\\\x99s watch and jewellery retailing firm']"
2017-11-08,Talentedge,Technology,Distance Education Learning Platform,Bangalore,Lumis Partners,Private Equity,7600000.0,['Lumis Partners']
2017-11-08,Fisdom,Finance,Mutual Fund Investment App,Bangalore,Quona Capital Management,Private Equity,3000000.0,['Quona Capital Management']
2017-11-08,Farmlink,eCommerce,Online platform for Agricultural products,Mumbai,"Pioneering Ventures, Syngenta AG",Private Equity,3000000.0,"['Pioneering Ventures', ' Syngenta AG']"
2017-11-08,Openapp,Technology,IoT based Tech Startup,Bangalore,"Axilor Ventures, Kumar Vembu",Private Equity,3600000.0,"['Axilor Ventures', ' Kumar Vembu']"
2017-11-09,Nopaperforms,Technology,Enrolment Management Platform,Delhi,Info Edge,Seed Funding,872000.0,['Info Edge']
2017-11-09,Tilite Technologies Pvt,Technology,Saas based Corporate Travel Management Solution,Bangalore,Matrix Partners,Seed Funding,0.0,['Matrix Partners']
2017-11-09,Mobiliz Ar,Technology,Augmented Reality based Tech platform,Bangalore,"IDG Ventures, IDFC-Parampara Fund",Private Equity,0.0,"['IDG Ventures', ' IDFC-Parampara Fund']"
2017-11-10,Qubole,Technology,Big Data based analytics platform,Bangalore,"Singtel, Innov8, Harmony Partners",Private Equity,25000000.0,"['Singtel', ' Innov8', ' Harmony Partners']"
2017-11-10,Happily Unmarried,ECommerce,Online Gifting platform,Nw Delhi,Wipro Consumer Care,Private Equity,0.0,['Wipro Consumer Care']
2017-11-13,Universal Sportsbiz Pvt,ECommerce,Celebrity fashion accessories and merchandise,Mumbai,Accel Partners,PrivateEquity,15000000.0,['Accel Partners']
2017-11-14,Hungry Foal,Ecommerce,Healthy & Nutrition based snacks online platform,Gurgaon,GAIL India Ltd,Seed Funding,0.0,['GAIL India Ltd']
2017-11-14,Active Ai,Technology,AI based FinTech platform,Bangalore,Vertex Ventures,Private Equity,8250000.0,['Vertex Ventures']
2017-11-15,Sumeru,Technology,Banking Software License Platform,Bangalore,Undisclosed Investors,Seed Funding,900000.0,['Undisclosed Investors']
2017-11-15,Elderaid Wellness,Health Care,Social Healthcare Enterprise,Bangalore,Rugmini Menon,Angel Funding,0.0,['Rugmini Menon']
2017-11-15,Omnia Information,Technology,WiFi Analytics Platform,Delhi,Omidyar Network,Private Equity,3000000.0,['Omidyar Network']
2017-11-15,Josh Talks,Inspiration,Storytelling platform,Gurgaon,"Girish Mathrubootham, Apurva Chamaria, Rohit Chanana",Private Equity,0.0,"['Girish Mathrubootham', ' Apurva Chamaria', ' Rohit Chanana']"
2017-11-15,Reniso,Technology,End-to-End property management for landlords living away,Delhi,"Nishit Sharma, Alok Srivastava",Seed Funding,0.0,"['Nishit Sharma', ' Alok Srivastava']"
2017-11-17,Kanhaiya,Inspiration,Storytelling platform,Hyderabad,Undisclosed Investors,Seed/Angel Funding,200000.0,['Undisclosed Investors']
2017-11-17,Perspectico,Technology,Placement preparation and career growth training platform,Delhi,"SSCBS Innovation, Incubation Foundation (SIIF)",Seed/Angel Funding,0.0,"['SSCBS Innovation', ' Incubation Foundation (SIIF)']"
2017-11-20,Onn Bikes,Technology,Self riding bike rental program,Mumbai,Z Nation Lab,Seed/Angel Funding,692000.0,['Z Nation Lab']
2017-11-21,Rapido,Technology,Bike and Taxi pooling online platform,Hyderabad,"Skycatcher Fund, Aravind Sanka",Seed/Angel Funding,329230.0,"['Skycatcher Fund', ' Aravind Sanka']"
2017-11-21,Heckyl,Technology,Big Data Analytics Platform,Mumbai,"Notion Capital, IDG Ventures",Private Equity,2700000.0,"['Notion Capital', ' IDG Ventures']"
2017-11-21,Nuvepro,Technology,Managed Cloud Environment Solutions,Mumbai,1Crowd,Seed/Angel Funding,400000.0,['1Crowd']
2017-11-21,Redbook,Technology,AI based pharmacy drugs insights platform,Mumbai,"Vida Ventures, Dr. Aniruddha Malpani",Seed/Angel Funding,250000.0,"['Vida Ventures', ' Dr. Aniruddha Malpani']"
2017-11-21,Portea,Healthcare,Healthcare facilities at doorstep,Bangalore,"Sabre Partners, MEMG CDC",Private Equity,26000000.0,"['Sabre Partners', ' MEMG CDC']"
2017-11-21,Credit Mate,Technology,Vehicle loan approval platform,Mumbai,Paytm,Private Equity,0.0,['Paytm']
2017-11-21,Epiq Capital,Finance,Tech based investor firm,Mumbai,Global Institutional Investors,Private Equity,200000000.0,['Global Institutional Investors']
2017-11-22,Mistay,Technology,Online Hotel Reservation Platform,Bangalore,Axilor Ventures,Seed/Angel Funding,0.0,['Axilor Ventures']
2017-11-23,Wittyfeed,Storytelling,Viral Content and storytelling platform,Indore,Sandeep Aggarwal,Seed/Angel Funding,0.0,['Sandeep Aggarwal']
2017-11-24,Idg Ventures,Finance,Venture Capitalist,Bangalore,Uniliver Ventures,Private Equity,10000000.0,['Uniliver Ventures']
2017-11-24,Tempgo,Technology,IoT and SaaS based transportation platform,Goa,Javelin StartupO Victory Fund,Seed/Angel Funding,250000.0,['Javelin StartupO Victory Fund']
2017-11-27,Edelweiss,Finance,Diversified Financial,Mumbai,Undisclosed investors,Private Equity,270000000.0,['Undisclosed investors']
2017-11-27,Era,Technology,Identity management platform,Mumbai,Amit Patni,Seed/Angel Funding,39000.0,['Amit Patni']
2017-11-27,Smaaash,Technology,Virtual Reality based gaming platform,Mumbai,Sixth Sense Ventures,Private Equity,3800000.0,['Sixth Sense Ventures']
2017-11-28,Chumbak,Lifestyle,Designer-led consumer products,Bangalore,Gaja Capital,Private Equity,13000000.0,['Gaja Capital']
2017-11-28,Fr8,Technology,Online Truck aggregator platform,Chennai,IFMR Capital,Debt Funding,1500000.0,['IFMR Capital']
2017-11-28,Mobiefit,Healthcare,Health and fitness based mobile App,Goa,"NB Ventures, MediAssist",Seed/Angel Funding,1350000.0,"['NB Ventures', ' MediAssist']"
2017-11-28,Stanza Living,Technology,Student accommodation platform,Delhi,"Matrix PArtners, Accel",Private Equity,2000000.0,"['Matrix PArtners', ' Accel']"
2017-10-03,Chqbook,Consumer Internet,Home Loans Aggregation platform,Gurgaon,"Startup Buddy, Apurva Chamaria,Sachin Arora, Bharat Gupta, Amit Manocha",Seed Funding,0.0,"['Startup Buddy', ' Apurva Chamaria', 'Sachin Arora', ' Bharat Gupta', ' Amit Manocha']"
2017-10-03,Homecapital,Consumer Internet,Home Loan Down payment assistance program,Mumbai,Venture Catalysts,Seed Funding,0.0,['Venture Catalysts']
2017-10-03,Ola Cabs,Consumer Internet,App based cab hailing services,Bangalore,"Tencent, Softbank Group",Private Equity,110000000.0,"['Tencent', ' Softbank Group']"
2017-10-04,Elanic,Consumer Internet,P2P platform for Fashion sales,Bangalore,Digital Garage,Seed Funding,0.0,['Digital Garage']
2017-10-04,Collpoll,Consumer Internet,Education collaboration platform,Bangalore,Sprout Angels,Seed Funding,306000.0,['Sprout Angels']
2017-10-04,Phonepe,Consumer Internet,Digital Wallet,Bangalore,Flipkart,Private Equity,38700000.0,['Flipkart']
2017-10-05,Little Black Book,Consumer Internet,Local Recommendations and Discoveries Platform,Delhi,"Blume Ventures, IDG Ventures & Indian Angel Network",Private Equity,1000000.0,"['Blume Ventures', ' IDG Ventures & Indian Angel Network']"
2017-10-05,Oorjan,Technology,rooftop solar platform,Mumbai,Globevestor,Seed Funding,450000.0,['Globevestor']
2017-10-05,Zefo,ECommerce,Ecommerce Portal for Used Goods,Bangalore,"Sequoia India, Helion Venture Partners, Beenext",Private Equity,9200000.0,"['Sequoia India', ' Helion Venture Partners', ' Beenext']"
2017-10-06,Yaantra,ECommerce,Mobile repair and Refurbishment platform,Delhi,Carpediem Capital,Private Equity,3100000.0,['Carpediem Capital']
2017-10-06,Farm Taaza,Technology,Fresh Produce SCM company,Bangalore,"Epsilon Venture Partners, Tara India Fund IV and others",Private Equity,8000000.0,"['Epsilon Venture Partners', ' Tara India Fund IV and others']"
2017-10-06,Drivezy,Consumer Internet,Self Drive car and bike rental platform,Bangalore,"Das Capital, Axan Partners, Das Capital and IT Farm",Private Equity,10000000.0,"['Das Capital', ' Axan Partners', ' Das Capital and IT Farm']"
2017-10-06,Slice Pay,Consumer Internet,Student Micro-financing platform,Bangalore,"Das Capital, Simile Ventures",Private Equity,2000000.0,"['Das Capital', ' Simile Ventures']"
2017-10-09,Agrowave,Technology,Agriculture Supply Chain management solutions,Gurgaon,Daffodil Software,Seed Funding,0.0,['Daffodil Software']
2017-10-09,Mygubbi,eCommerce,Home Interior Designing Seller,Bangalore,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",Private Equity,2700000.0,"['Firoze Irani', ' Vipul Parekh', ' Ananda Kallugadde', ' Rajesh K Murthy']"
2017-10-09,Ibsfintech,Technology,Treasury Risk Management Solution,Bangalore,Shailesh Haribhakti,Seed Funding,0.0,['Shailesh Haribhakti']
2017-10-09,Letsservice,Consumer Internet,Auto Service Logistics & SAAS platform,Bangalore,Aequs Group,Private Equity,0.0,['Aequs Group']
2017-10-09,Onestepup,Technology,Education Technology platform,Delhi,Orient BlackSwan,Seed Funding,336000.0,['Orient BlackSwan']
2017-10-09,Thirdwatch,Technology,AI-powered anti-fraud solutions,Gurgaon,"Rahul Agarwalla, Keshav Sanghi, Batlivala & Karani Securities",Seed Funding,0.0,"['Rahul Agarwalla', ' Keshav Sanghi', ' Batlivala & Karani Securities']"
2017-10-10,Parallel Dots,Technology,AI-powered deep learning solutions,Gurgaon,"Multipoint Capital,",Private Equity,1400000.0,"['Multipoint Capital', '']"
2017-10-10,Easy Diner,Consumer Internet,online restaurant reservation platform,Gurgaon,Saama Capital and DSG Consumer Partners,Private Equity,4500000.0,['Saama Capital and DSG Consumer Partners']
2017-10-11,Meesho,ECommerce,Online Reseller Network,Bangalore,"SAIF Partners, YCombinator, Venture Highway",Private Equity,3100000.0,"['SAIF Partners', ' YCombinator', ' Venture Highway']"
2017-10-11,Stanplus,Logistics,Medical Transportation Services,Hyderabad,KStart Capital,Private Equity,1100000.0,['KStart Capital']
2017-10-12,Uclid,Technology,"Education Network for Institutions, teachers & Students",Hyderabad,Undisclosed investors,Seed Funding,235000.0,['Undisclosed investors']
2017-10-13,Policy Bazaar,Consumer Internet,Online insurance policy aggregator,Gurgaon,"Wellington Management, DG Ventures India, True North",Private Equity,77000000.0,"['Wellington Management', ' DG Ventures India', ' True North']"
2017-10-13,Gapoon,Consumer Internet,home maintenance services platform,Bangalore,"Vida Ventures, Snehal Mantri, Anshu Bahadur",Seed Funding,250000.0,"['Vida Ventures', ' Snehal Mantri', ' Anshu Bahadur']"
2017-10-13,Chaayos,eCommerce,Online Chai ordering platform,Gurgaon,Tiger Global Management,Private Equity,2000000.0,['Tiger Global Management']
2017-10-16,Krazybee,Consumer Internet,Micro-lending platform,Bangalore,"Xiaomi Technologies, Shunwei Capital",Private Equity,8000000.0,"['Xiaomi Technologies', ' Shunwei Capital']"
2017-10-16,Renew Buy,Consumer Internet,Online Insurance Aggregator,Delhi,Amicus Capital,Private Equity,9200000.0,['Amicus Capital']
2017-10-17,Fingerlix,Consumer Internet,Food Ordering Portal,Bangalore,"Accel Partners, Zephyr Peacock",Private Equity,7000000.0,"['Accel Partners', ' Zephyr Peacock']"
2017-10-18,Bank Bazaar,Consumer Internet,Online Financial Marketplace,Chennai,Experian,Private Equity,7000000.0,['Experian']
2017-10-18,Hasura,Technology,App building platform,Chennai,"Nexus, GREE Ventures",Private Equity,0.0,"['Nexus', ' GREE Ventures']"
2017-10-18,Blackbuck,Logistics,B2B Logistics provider,Bangalore,Innoven Capital,Private Equity,7700000.0,['Innoven Capital']
2017-10-18,Lenden Club,Consumer Internet,Online peer-to-peer lending platform,Mumbai,Undisclosed Investor,Seed Funding,500000.0,['Undisclosed Investor']
2017-10-23,Toppr,Consumer Internet,Mobile based learning app,Mumbai,"SAIF Partners, Helion Ventures, FIL Capital Management",Private Equity,7000000.0,"['SAIF Partners', ' Helion Ventures', ' FIL Capital Management']"
2017-10-23,Raw Pressery,Food & Beverage,Cold pressed Juice maker,Mumbai,"DSG Consumer Partners, Sequoia Capital, Saama Capital",Private Equity,6000000.0,"['DSG Consumer Partners', ' Sequoia Capital', ' Saama Capital']"
2017-10-23,Cashe,Consumer Internet,app-only lending platform,Mumbai,IFMR Capital,Debt Funding,3100000.0,['IFMR Capital']
2017-10-23,Park Easy,Consumer Internet,Machine learning based parking discovery,Kolkata,Rockstart Accelerator,Seed Funding,118000.0,['Rockstart Accelerator']
2017-10-24,Tagbox,Technology,Cold Chain monitoring solution,Bangalore,"Indian Angel network, IAN Fund",Seed Funding,0.0,"['Indian Angel network', ' IAN Fund']"
2017-10-24,Fyre,Food & Beverage,Herbal energy shot maker,Mumbai,Venture Catalysts,Seed Funding,500000.0,['Venture Catalysts']
2017-10-24,Ziploan,Consumer Internet,SME lending platform,Delhi,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh",Private Equity,3000000.0,"['Matrix Partners India', ' WaterBridge Ventures', ' Whiteboard Capital', ' Sarbvir Singh']"
2017-10-24,Skillenza,Consumer Internet,Online Learning Platform,Bangalore,"Blume Ventures, Indian Angel Network",Seed Funding,722000.0,"['Blume Ventures', ' Indian Angel Network']"
2017-10-24,Chevon,Food & Beverage,Frozen Meat provider,Mumbai,Greenfield Advisory,Private Equity,0.0,['Greenfield Advisory']
2017-10-25,Propstory,Consumer Internet,Real Estate content portal,Gurgaon,"Abhishek Bhatewara, Vivek Shah, Haitong Securities, Suraj Saharan, Paras Arora",Seed Funding,0.0,"['Abhishek Bhatewara', ' Vivek Shah', ' Haitong Securities', ' Suraj Saharan', ' Paras Arora']"
2017-10-25,Spotdraft,Consumer Internet,Contract Automation,Gurgaon,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Seed Funding,550000.0,"['Hunch Ventures', ' Spiral Ventures', ' 500 Startups', ' Singapore Angel Network', ' Citrus Payments']"
2017-10-26,Big Basket,eCommerce,Online Grocery portal,Bangalore,Helion Ventures Partners,Private Equity,5000000.0,['Helion Ventures Partners']
2017-10-27,Ofbusiness,Technology,B2B Finance & Fulfilment Network,Gurgaon,Kotak Mahindra Bank,Debt Funding,3800000.0,['Kotak Mahindra Bank']
2017-10-27,Olly Credit,Technology,Credit + payment mobile app,Delhi,"Incubate Fund, Sandesh Kirkire, Anand Kumar, Yogesh Chaudhary",Seed Funding,0.0,"['Incubate Fund', ' Sandesh Kirkire', ' Anand Kumar', ' Yogesh Chaudhary']"
2017-10-28,Cashfree,Technology,Payments Platform for Marketplaces and Fintechs,Delhi,Y Combinator,Seed Funding,120000.0,['Y Combinator']
2017-10-28,Ola Cabs,Consumer Internet,App based cab hailing services,Bangalore,ANI Technologies Pvt. Ltd,Private Equity,7700000.0,['ANI Technologies Pvt. Ltd']
2017-10-30,Goldfarm,Food & Beverage,Agriculture Technology,Coimbatore,Mahindra & Mahindra and Infuse Ventures,Private Equity,2000000.0,['Mahindra & Mahindra and Infuse Ventures']
2017-10-31,Netmeds,ECommerce,Online Pharmacy,Chennai,TannCam Investment & Sistema Asia Fund,Private Equity,14000000.0,['TannCam Investment & Sistema Asia Fund']
2017-10-31,Mse,Finance,Equity Stock Exchange,Mumbai,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala",Private Equity,32000000.0,"['IL&FS', ' Trust Capital', ' Rosy Blue Securities', ' Radhakrishan Damani and Rakesh Jhunjhunwala']"
2017-09-01,Aahaa Stores,eCommece,Online B2B store for office supplies,Chennai,YourNest Angel Fund,Private Equity,1000000.0,['YourNest Angel Fund']
2017-09-01,Mfine,Consumer Internet,Online Doctor Discovery platform,Bangalore,"Stellaris Venture Partners, Mayur Abhaya, Rohit MA",Private Equity,1500000.0,"['Stellaris Venture Partners', ' Mayur Abhaya', ' Rohit MA']"
2017-09-01,Canvera,Consumer Internet,Online Photography platform,Mumbai,InfoEdge,Private Equity,1300000.0,['InfoEdge']
2017-09-04,Primaryio,Technology,Application Performance Acceleration,Pune,"Accel Partners, Exfinity Ventures, Partech Ventures",Private Equity,5600000.0,"['Accel Partners', ' Exfinity Ventures', ' Partech Ventures']"
2017-09-05,Shubh Loans,Consumer Internet,online lending platform,Bangalore,"SRI Capital, BeeNext, Pravega Ventures",Private Equity,1500000.0,"['SRI Capital', ' BeeNext', ' Pravega Ventures']"
2017-09-05,Nest Education,Technology,EduTech Platform,Gurgaon,"Michael and Susan Dell Foundation, Anand Mahindra",Seed Funding,600000.0,"['Michael and Susan Dell Foundation', ' Anand Mahindra']"
2017-09-06,Lending Kart,Consumer Internet,Online Lending Platform,Ahmedabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",Private Equity,10750000.0,"['Bertelsmann India', ' Mayfield Capital', ' Saama Capital', ' Darrin Capital']"
2017-09-06,Gofro,Consumer Internet,Online travel booking platform,Delhi,"HIS Co. Ltd, MakeMyTrip",Private Equity,10000000.0,"['HIS Co. Ltd', ' MakeMyTrip']"
2017-09-06,Oncostem,Healthcare,Medical Diagnostic Solutions,Bangalore,"Sequoia Capital India, Artiman Ventures",Private Equity,6000000.0,"['Sequoia Capital India', ' Artiman Ventures']"
2017-09-06,Power2Sme,eCommerce,Buying Club for Small Businesses,Gurgaon,"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani,",Private Equity,26000000.0,"['International Finance Corporation (IFC)', ' Inventus Capital Partners', ' Accel Partners', ' Kalaari Capital', ' and Nandan Nilekani', '']"
2017-09-07,Credit Vidya,Consumer Internet,Online Credit scoring platform,Mumbai,Matrix Partners,Private Equity,5000000.0,['Matrix Partners']
2017-09-07,Tails Life,Consumer Internet,Pet care portal & mobile app,Bangalore,V Balakrishnan.,Private Equity,0.0,['V Balakrishnan.']
2017-09-07,Oyo Rooms,Consumer Internet,Branded budget hotels marketplace,Gurgaon,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",Private Equity,250000000.0,"['SoftBank Group', ' Sequoia Capital India', ' Lightspeed Venture Partners', ' Greenoaks Capital', ' Hero Enterprise']"
2017-09-07,Early Salary,Consumer Internet,Online Unsecured Lending platform,Pune,IFMR Capital,Debt Funding,780000.0,['IFMR Capital']
2017-09-07,Mamaearth,eCommerce,online babycare products marketplace,Gurgaon,Fireside Ventures,Seed Funding,0.0,['Fireside Ventures']
2017-09-07,Seniority,eCommerce,Ecommerce portal for senior citizens,Pune,RPG Enterprises,Private Equity,1000000.0,['RPG Enterprises']
2017-09-08,Aye Finance,Consumer Internet,Micro Lending Platform,Delhi,"Triodos Investment Management,",Debt Funding,6900000.0,"['Triodos Investment Management', '']"
2017-09-08,Farmizen,Technology,Agre-Tech Mobile app,Bangalore,"Venture Highway, Alok Mittal, Mohit Agarwal, Anuj Gupta,",Seed Funding,0.0,"['Venture Highway', ' Alok Mittal', ' Mohit Agarwal', ' Anuj Gupta', '']"
2017-09-11,Ecom Express,Logistics,Logistics Solutions provider,Delhi,Warburg Pincus,Private Equity,30000000.0,['Warburg Pincus']
2017-09-11,Call Health,Consumer Internet,Healthcare Services Aggregator,Hyderabad,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand",Private Equity,6200000.0,"['Sachin Tendulkar', ' P.V SIndhu', ' Pullela Gopichand']"
2017-09-12,Sattviko,eCommerce,Health Food etailer,Delhi,"Raman Roy, Arvind Uppal, Sonu Bhasin, G Ravishankar",Seed Funding,0.0,"['Raman Roy', ' Arvind Uppal', ' Sonu Bhasin', ' G Ravishankar']"
2017-09-12,3Hcare,Consumer Internet,Healthcare services portal,Delhi,Undisclosed Investor,Seed Funding,100000.0,['Undisclosed Investor']
2017-09-12,Tonbo Imaging,Technology,Imaging Technology for Armed Forces,Bangalore,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",Private Equity,17000000.0,"['WRV Capital', ' Qualcomm Ventures', ' Edelweiss Private Equity', ' Artiman Ventures']"
2017-09-12,Get My Parking,Consumer Internet,Smart Parking Enabler,Delhi,"IAN Fund, Beenext, Indian Angel Network",Private Equity,3000000.0,"['IAN Fund', ' Beenext', ' Indian Angel Network']"
2017-09-13,Wittyfeed,Technology,Content marketing platform,Indore,"Anand Chandrasekaran, Apurva Chamaria, Ritesh Malik, Ashish Toshniwal, Ajeet Khurana",Seed Funding,0.0,"['Anand Chandrasekaran', ' Apurva Chamaria', ' Ritesh Malik', ' Ashish Toshniwal', ' Ajeet Khurana']"
2017-09-13,Glowroad,Consumer Internet,women focussed customer-to-customer reseller network,Bangalore,"Accel Partners,",Private Equity,2000000.0,"['Accel Partners', '']"
2017-09-13,Oyo Rooms,Consumer Internet,udget hotel marketplace,Gurgaon,China Lodging Group,Private Equity,10000000.0,['China Lodging Group']
2017-09-13,Unacademy,Consumer Internet,Online learning platform,Mumbai,"Sequoia Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,",Private Equity,11500000.0,"['Sequoia Capital India', ' SAIF Partners', ' Nexus Venture Partners and Blume Ventures', '']"
2017-09-13,Heterogenous,Technology,Telecom & IoT platform,Chennai,"Chennai Angels, Keiretsu Forum & Others",Seed Funding,780000.0,"['Chennai Angels', ' Keiretsu Forum & Others']"
2017-09-14,Gurukul,Consumer Internet,co-working space provider,Delhi,"Rohit Nanda, Rajit Nanda, Smarak Bhuyan, Sashwat Brahma,",Seed Funding,0.0,"['Rohit Nanda', ' Rajit Nanda', ' Smarak Bhuyan', ' Sashwat Brahma', '']"
2017-09-14,Smaaash,Technology,Virtual Reality gaming and entertainment platform,Mumbai,ECL Finance,Private Equity,44000000.0,['ECL Finance']
2017-09-14,Wheelstreet,Consumer Portal,Bike Rental Platform,Bangalore,Y Combinator,Seed Funding,120000.0,['Y Combinator']
2017-09-14,Xprep,Consumer Internet,Online Tutoring Platform,Delhi,"Rising Stars, Manish Amin, Pallav Pandey, Chavi Jafa",Private Equity,0.0,"['Rising Stars', ' Manish Amin', ' Pallav Pandey', ' Chavi Jafa']"
2017-09-18,The Moms Co,eCommerce,Pregnancy & Baby Care product etailer,Gurgaon,"DSG Consumer Partners, Saama Capital",Private Equity,1000000.0,"['DSG Consumer Partners', ' Saama Capital']"
2017-09-19,Noticeboard,Technology,"mobile-first communication platform for on-field staff,",Bangalore,"Shamik Sharma, Aprameya Radhakrishna",Seed Funding,0.0,"['Shamik Sharma', ' Aprameya Radhakrishna']"
2017-09-19,High Radius,Technology,Integrated receivables software solutions,Hyderabad,Susquehanna Growth Equity LLC,Private Equity,50000000.0,['Susquehanna Growth Equity LLC']
2017-09-20,Hwell24 Plus,Healthcare,Technology-Empowered Healthcare Solutions,Mumbai,Undisclosed Investors,Seed Funding,0.0,['Undisclosed Investors']
